,TeamId,TeamName,Week_1_score,Week_2_score,Week_3_score,Week_4_score,Week_5_score,Week_6_score,Week_7_score
0,1,Indian Lions,132.8,122.46,149.48,98.42,119.74,122.72,96.7
2,2,Muddy Chicken Club,162.62,93.62,144.66,139.18,191.06,161.24,110.92
4,3,King of the Hill,115.12,97.5,151.64,101.44,109.54,130.44,155.46
6,4,Three Dog Knighton,164.4,136.8,109.0,148.96,102.94,126.76,127.04
8,5,Dr. R. Delicious,102.26,90.98,148.7,96.22,118.2,113.92,121.9
7,6,Playing With Fire,127.42,159.38,151.44,146.44,174.94,140.42,128.04
5,7,Professor Chaos,178.04,144.3,157.5,125.8,192.0,133.74,103.86
3,8,Smooth Jazz,101.92,119.54,96.18,142.68,106.36,84.12,141.94
1,9,MCLOVIN,133.34,136.54,133.18,106.6,70.94,85.32,90.54
9,10,Six Rings,119.26,120.22,152.62,106.2,177.18,59.42,134.38
