,UniqueID,TeamID,Week,RealScore,ProjScore
0,713428_1,1,1,132.8,133.98
2,713428_2,2,1,162.62,146.94
4,713428_3,3,1,115.12,140.75
6,713428_4,4,1,164.4,140.2
8,713428_5,5,1,102.26,137.98
9,713428_6,6,1,127.42,138.77
7,713428_7,7,1,178.04,141.41
5,713428_8,8,1,101.92,125.54
3,713428_9,9,1,133.34,140.25
1,713428_10,10,1,119.26,127.78
0,713428_1,1,2,122.46,131.6
2,713428_2,2,2,93.62,146.24
4,713428_3,3,2,97.5,131.12
6,713428_4,4,2,136.8,147.95
8,713428_5,5,2,90.98,133.34
9,713428_6,6,2,159.38,146.43
7,713428_7,7,2,144.3,148.93
5,713428_8,8,2,119.54,116.91
3,713428_9,9,2,136.54,141.48
1,713428_10,10,2,120.22,139.23
0,713428_1,1,3,149.48,126.78
2,713428_2,2,3,144.66,136.05
4,713428_3,3,3,151.64,141.63
6,713428_4,4,3,109.0,145.52
8,713428_5,5,3,148.7,126.04
9,713428_6,6,3,151.44,150.84
7,713428_7,7,3,157.5,150.86
5,713428_8,8,3,96.18,123.11
3,713428_9,9,3,133.18,151.06
1,713428_10,10,3,152.62,129.57
0,713428_1,1,4,98.42,133.19
2,713428_2,2,4,139.18,138.37
4,713428_3,3,4,101.44,133.65
6,713428_4,4,4,148.96,139.97
8,713428_5,5,4,96.22,125.62
9,713428_6,6,4,146.44,141.87
7,713428_7,7,4,125.8,146.15
5,713428_8,8,4,142.68,104.43
3,713428_9,9,4,106.6,89.56
1,713428_10,10,4,106.2,136.5
0,713428_1,1,5,119.74,127.83
2,713428_2,2,5,191.06,136.66
4,713428_3,3,5,109.54,127.93
6,713428_4,4,5,102.94,135.42
8,713428_5,5,5,118.2,126.39
9,713428_6,6,5,174.94,138.47
7,713428_7,7,5,192.0,141.6
5,713428_8,8,5,106.36,111.51
3,713428_9,9,5,70.94,90.45
1,713428_10,10,5,177.18,131.44
0,713428_1,1,6,122.72,127.88
2,713428_2,2,6,161.24,138.09
4,713428_3,3,6,130.44,135.1
6,713428_4,4,6,126.76,138.01
8,713428_5,5,6,113.92,124.67
9,713428_6,6,6,140.42,142.6
7,713428_7,7,6,133.74,150.43
5,713428_8,8,6,84.12,105.15
3,713428_9,9,6,85.32,75.14
1,713428_10,10,6,59.42,114.4
0,713428_1,1,7,96.7,125.14
2,713428_2,2,7,110.92,129.19
4,713428_3,3,7,155.46,143.2
6,713428_4,4,7,127.04,137.07
8,713428_5,5,7,121.9,114.24
9,713428_6,6,7,128.04,121.56
7,713428_7,7,7,103.86,138.56
5,713428_8,8,7,141.94,108.9
3,713428_9,9,7,90.54,124.06
1,713428_10,10,7,134.38,131.58
0,713428_1,1,8,103.32,127.44
2,713428_2,2,8,169.72,141.83
4,713428_3,3,8,125.56,125.74
6,713428_4,4,8,134.24,132.6
8,713428_5,5,8,158.86,128.62
9,713428_6,6,8,154.28,140.59
7,713428_7,7,8,155.96,147.35
5,713428_8,8,8,102.36,116.92
3,713428_9,9,8,78.9,91.19
1,713428_10,10,8,153.84,126.99
0,713428_1,1,9,161.5,125.62
2,713428_2,2,9,130.34,138.21
4,713428_3,3,9,113.0,140.83
6,713428_4,4,9,149.42,133.58
8,713428_5,5,9,125.44,128.6
9,713428_6,6,9,154.64,130.33
7,713428_7,7,9,132.44,124.57
5,713428_8,8,9,127.9,97.61
3,713428_9,9,9,95.88,98.15
1,713428_10,10,9,83.92,126.73
0,713428_1,1,10,151.46,122.41
2,713428_2,2,10,131.3,149.38
4,713428_3,3,10,179.94,130.76
6,713428_4,4,10,154.04,128.2
8,713428_5,5,10,92.94,110.07
9,713428_6,6,10,151.14,145.47
7,713428_7,7,10,96.6,121.5
5,713428_8,8,10,84.52,111.81
3,713428_9,9,10,70.52,104.61
1,713428_10,10,10,132.0,128.79
0,713428_1,1,11,159.48,125.23
2,713428_2,2,11,177.46,148.02
4,713428_3,3,11,130.42,141.99
6,713428_4,4,11,118.32,130.08
8,713428_5,5,11,120.92,123.22
9,713428_6,6,11,126.16,141.32
7,713428_7,7,11,97.94,135.58
5,713428_8,8,11,89.42,92.86
3,713428_9,9,11,64.96,54.39
1,713428_10,10,11,95.4,119.88
0,713428_1,1,12,111.58,119.98
2,713428_2,2,12,152.86,140.39
4,713428_3,3,12,142.88,117.36
6,713428_4,4,12,146.96,136.39
8,713428_5,5,12,107.04,126.76
9,713428_6,6,12,169.14,151.94
7,713428_7,7,12,97.96,135.01
5,713428_8,8,12,38.9,59.08
3,713428_9,9,12,64.92,88.97
1,713428_10,10,12,139.56,120.33
