,UniqueID,LeagueId,LeagueName,Order,TeamId,TeamName,RealScore,ProjScore,PctPlayed
0,910981_7,910981,AFC,1,7,Joe's Minions,45.8,47.81999999999999,133.0
1,910981_9,910981,AFC,2,9,Armchair Quarterback,16.4,22.08,85.0
2,910981_4,910981,AFC,3,4,Scotty Doesn't Know,13.100000000000001,14.48,62.0
3,910981_8,910981,AFC,4,8,Roger Rodgers!,37.92,22.42,71.0
4,910981_5,910981,AFC,5,5,Five Rings,22.9,22.89,98.0
5,910981_3,910981,AFC,6,3,Moose,0.0,0.0,7.0
6,910981_2,910981,AFC,7,2,Muddy Chicken Club,31.24,27.15,69.0
7,910981_1,910981,AFC,8,1,Living on a Prater,14.600000000000001,14.75,87.0
8,910981_10,910981,AFC,9,10,Lydia's Perfect Team,15.3,7.82,30.0
9,910981_11,910981,AFC,10,11,Meeseeks and Destroy,8.3,6.82,64.0
