,UniqueID,Week,Time,RealScore,ProjScore,LeagueId,LeagueName,Order,TeamId,TeamName
18,729457_2,1,0,86.54,113.32,729457,NFC,1,2,Playing With Fire
9,729457_10,1,0,95.14,111.29,729457,NFC,2,10,Webster Bullyboyz
72,729457_6,1,0,110.94,122.0,729457,NFC,3,6,The Hooligans Return
36,729457_4,1,0,136.84,107.92,729457,NFC,4,4,Professor Chaos
45,729457_8,1,0,111.36,112.23,729457,NFC,5,8,The Ominious Fog
63,729457_7,1,0,109.52,121.34,729457,NFC,6,7,King of the Hill
0,729457_1,1,0,110.32,120.75,729457,NFC,7,1,Dr. R. Delicious
27,729457_9,1,0,96.26,114.42,729457,NFC,8,9,Indian Lions
54,729457_5,1,0,130.18,106.9,729457,NFC,9,5,Handyman
81,729457_11,1,0,108.2,120.33,729457,NFC,10,11,The Smelliots
19,729457_2,2,0,114.84,114.03,729457,NFC,1,2,Playing With Fire
10,729457_10,2,0,98.9,107.1,729457,NFC,2,10,Webster Bullyboyz
73,729457_6,2,0,111.14,110.29,729457,NFC,3,6,The Hooligans Return
37,729457_4,2,0,100.5,112.89,729457,NFC,4,4,Professor Chaos
46,729457_8,2,0,126.4,110.56,729457,NFC,5,8,The Ominious Fog
64,729457_7,2,0,96.96,111.02,729457,NFC,6,7,King of the Hill
1,729457_1,2,0,128.04,106.65,729457,NFC,7,1,Dr. R. Delicious
28,729457_9,2,0,100.82,110.11,729457,NFC,8,9,Indian Lions
55,729457_5,2,0,75.88,99.52,729457,NFC,9,5,Handyman
82,729457_11,2,0,110.88,110.13,729457,NFC,10,11,The Smelliots
20,729457_2,3,0,112.06,118.39,729457,NFC,1,2,Playing With Fire
11,729457_10,3,0,104.3,108.07,729457,NFC,2,10,Webster Bullyboyz
74,729457_6,3,0,107.1,113.86,729457,NFC,3,6,The Hooligans Return
38,729457_4,3,0,117.9,107.63,729457,NFC,4,4,Professor Chaos
47,729457_8,3,0,120.24,104.57,729457,NFC,5,8,The Ominious Fog
65,729457_7,3,0,112.34,108.69,729457,NFC,6,7,King of the Hill
2,729457_1,3,0,114.18,117.18,729457,NFC,7,1,Dr. R. Delicious
29,729457_9,3,0,106.14,116.35,729457,NFC,8,9,Indian Lions
56,729457_5,3,0,63.42,111.11,729457,NFC,9,5,Handyman
83,729457_11,3,0,113.02,108.85,729457,NFC,10,11,The Smelliots
21,729457_2,4,0,156.26,118.28,729457,NFC,1,2,Playing With Fire
12,729457_10,4,0,115.9,107.05,729457,NFC,2,10,Webster Bullyboyz
75,729457_6,4,0,95.32,110.19,729457,NFC,3,6,The Hooligans Return
39,729457_4,4,0,131.5,117.11,729457,NFC,4,4,Professor Chaos
48,729457_8,4,0,104.38,108.06,729457,NFC,5,8,The Ominious Fog
66,729457_7,4,0,114.96,113.82,729457,NFC,6,7,King of the Hill
3,729457_1,4,0,121.98,116.04,729457,NFC,7,1,Dr. R. Delicious
30,729457_9,4,0,114.68,113.92,729457,NFC,8,9,Indian Lions
57,729457_5,4,0,111.26,96.63,729457,NFC,9,5,Handyman
84,729457_11,4,0,80.06,104.45,729457,NFC,10,11,The Smelliots
22,729457_2,5,0,106.52,108.2,729457,NFC,1,2,Playing With Fire
13,729457_10,5,0,91.46,101.82,729457,NFC,2,10,Webster Bullyboyz
76,729457_6,5,0,112.28,108.16,729457,NFC,3,6,The Hooligans Return
40,729457_4,5,0,128.5,118.68,729457,NFC,4,4,Professor Chaos
49,729457_8,5,0,100.44,114.18,729457,NFC,5,8,The Ominious Fog
67,729457_7,5,0,94.8,112.21,729457,NFC,6,7,King of the Hill
4,729457_1,5,0,136.32,120.5,729457,NFC,7,1,Dr. R. Delicious
31,729457_9,5,0,90.82,102.58,729457,NFC,8,9,Indian Lions
58,729457_5,5,0,133.64,102.31,729457,NFC,9,5,Handyman
85,729457_11,5,0,113.6,98.98,729457,NFC,10,11,The Smelliots
23,729457_2,6,0,153.08,112.36,729457,NFC,1,2,Playing With Fire
14,729457_10,6,0,86.1,105.22,729457,NFC,2,10,Webster Bullyboyz
77,729457_6,6,0,129.9,109.41,729457,NFC,3,6,The Hooligans Return
41,729457_4,6,0,151.48,121.87,729457,NFC,4,4,Professor Chaos
50,729457_8,6,0,128.72,104.12,729457,NFC,5,8,The Ominious Fog
68,729457_7,6,0,101.8,109.32,729457,NFC,6,7,King of the Hill
5,729457_1,6,0,130.58,122.75,729457,NFC,7,1,Dr. R. Delicious
32,729457_9,6,0,114.2,102.76,729457,NFC,8,9,Indian Lions
59,729457_5,6,0,94.8,95.62,729457,NFC,9,5,Handyman
86,729457_11,6,0,97.96,106.99,729457,NFC,10,11,The Smelliots
24,729457_2,7,0,151.12,118.69,729457,NFC,1,2,Playing With Fire
15,729457_10,7,0,121.66,106.21,729457,NFC,2,10,Webster Bullyboyz
78,729457_6,7,0,104.92,109.85,729457,NFC,3,6,The Hooligans Return
42,729457_4,7,0,104.96,120.61,729457,NFC,4,4,Professor Chaos
51,729457_8,7,0,106.84,104.5,729457,NFC,5,8,The Ominious Fog
69,729457_7,7,0,91.26,106.03,729457,NFC,6,7,King of the Hill
6,729457_1,7,0,115.12,99.29,729457,NFC,7,1,Dr. R. Delicious
33,729457_9,7,0,83.3,104.43,729457,NFC,8,9,Indian Lions
60,729457_5,7,0,76.98,63.76,729457,NFC,9,5,Handyman
87,729457_11,7,0,131.52,104.95,729457,NFC,10,11,The Smelliots
25,729457_2,8,0,111.92,128.69,729457,NFC,1,2,Playing With Fire
16,729457_10,8,0,116.26,98.99,729457,NFC,2,10,Webster Bullyboyz
79,729457_6,8,0,101.74,114.01,729457,NFC,3,6,The Hooligans Return
43,729457_4,8,0,126.46,116.37,729457,NFC,4,4,Professor Chaos
52,729457_8,8,0,173.56,119.68,729457,NFC,5,8,The Ominious Fog
70,729457_7,8,0,83.7,99.33,729457,NFC,6,7,King of the Hill
7,729457_1,8,0,124.6,114.99,729457,NFC,7,1,Dr. R. Delicious
