,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
0,910981,7,1,0,Philip Rivers,QB,QB,31.96,18.93,58.0
1,910981,7,1,0,Antonio Brown,WR,WR,15.3,17.21,100.0
2,910981,7,1,0,Michael Thomas,WR,WR,24.0,12.47,100.0
3,910981,7,1,0,Jarvis Landry,WR,WR,12.6,8.96,85.0
4,910981,7,1,0,Derrick Henry,RB,RB,3.1,11.74,80.0
5,910981,7,1,0,Rex Burkhead,RB,RB,6.9,12.18,53.0
6,910981,7,1,0,Zach Ertz,TE,TE,4.8,9.15,98.0
7,910981,7,1,0,Adam Thielen,WR,W/R/T,12.2,9.56,94.0
8,910981,7,1,0,David Njoku,TE,BN,1.3,6.35,45.0
9,910981,7,1,0,Duke Johnson Jr.,RB,BN,2.5,8.98,23.0
10,910981,7,1,0,Carson Wentz,QB,BN,0.0,0.0,6.0
11,910981,7,1,0,George Kittle,TE,BN,9.0,5.81,16.0
12,910981,7,1,0,Matt Bryant,K,K,7.0,9.43,90.0
13,910981,7,1,0,Minnesota,DEF,DEF,18.0,7.3,96.0
14,910981,9,1,0,Matt Ryan,QB,QB,9.84,18.19,33.0
15,910981,9,1,0,Mike Evans,WR,WR,22.7,9.56,93.0
16,910981,9,1,0,Amari Cooper,WR,WR,1.8,9.48,88.0
17,910981,9,1,0,Marvin Jones Jr.,WR,WR,5.4,9.49,73.0
18,910981,9,1,0,Ezekiel Elliott,RB,RB,14.6,16.62,100.0
19,910981,9,1,0,Christian McCaffrey,RB,RB,7.5,15.37,98.0
20,910981,9,1,0,Delanie Walker,TE,TE,5.2,7.4,83.0
21,910981,9,1,0,James Conner,RB,W/R/T,31.2,12.38,64.0
22,910981,9,1,0,Dion Lewis,RB,BN,17.0,9.22,55.0
23,910981,9,1,0,Jimmy Garoppolo,QB,BN,12.04,17.57,36.0
24,910981,9,1,0,Bilal Powell,RB,BN,6.5,7.06,9.0
25,910981,9,1,0,Nelson Agholor,WR,BN,5.5,9.14,39.0
26,910981,9,1,0,Harrison Butker,K,K,9.0,9.61,72.0
27,910981,9,1,0,Pittsburgh,DEF,DEF,11.0,7.51,63.0
28,910981,4,1,0,Kirk Cousins,QB,QB,20.36,18.33,76.0
29,910981,4,1,0,Julio Jones,WR,WR,20.0,15.65,100.0
30,910981,4,1,0,T.Y. Hilton,WR,WR,10.6,9.72,94.0
31,910981,4,1,0,Robert Woods,WR,WR,4.3,8.34,47.0
32,910981,4,1,0,Saquon Barkley,RB,RB,20.8,14.5,99.0
33,910981,4,1,0,LeSean McCoy,RB,RB,2.1,10.9,76.0
34,910981,4,1,0,Greg Olsen,TE,TE,3.3,7.5,86.0
35,910981,4,1,0,Alfred Morris,RB,W/R/T,1.8,8.4,12.0
36,910981,4,1,0,Pierre Garcon,WR,BN,2.1,7.32,14.0
37,910981,4,1,0,Cooper Kupp,WR,BN,12.8,7.51,30.0
38,910981,4,1,0,Jordan Reed,TE,BN,10.8,7.28,58.0
39,910981,4,1,0,Aaron Jones,RB,BN,0.0,0.0,0.0
40,910981,4,1,0,Stephen Gostkowski,K,K,9.0,11.17,99.0
41,910981,4,1,0,Baltimore,DEF,DEF,17.0,9.12,82.0
42,910981,8,1,0,Aaron Rodgers,QB,QB,24.94,21.85,99.0
43,910981,8,1,0,Doug Baldwin,WR,WR,0.0,9.42,79.0
44,910981,8,1,0,Devin Funchess,WR,WR,4.1,8.17,47.0
45,910981,8,1,0,Robby Anderson,WR,WR,9.2,7.84,26.0
46,910981,8,1,0,Kareem Hunt,RB,RB,4.9,15.12,99.0
47,910981,8,1,0,Melvin Gordon III,RB,RB,20.6,16.25,99.0
48,910981,8,1,0,Evan Engram,TE,TE,1.8,6.64,79.0
49,910981,8,1,0,Peyton Barber,RB,W/R/T,6.9,10.5,23.0
50,910981,8,1,0,Chris Thompson,RB,BN,18.8,8.97,23.0
51,910981,8,1,0,Josh Gordon,WR,BN,7.7,7.6,34.0
52,910981,8,1,0,Tevin Coleman,RB,BN,10.5,8.84,19.0
53,910981,8,1,0,Dak Prescott,QB,BN,8.7,17.11,12.0
54,910981,8,1,0,Greg Zuerlein,K,K,17.0,11.7,99.0
55,910981,8,1,0,New Orleans,DEF,DEF,-4.0,8.09,72.0
56,910981,5,1,0,Tom Brady,QB,QB,22.28,20.23,96.0
57,910981,5,1,0,DeAndre Hopkins,WR,WR,7.1,13.93,100.0
58,910981,5,1,0,Golden Tate,WR,WR,13.9,8.84,86.0
59,910981,5,1,0,Emmanuel Sanders,WR,WR,21.5,7.88,47.0
60,910981,5,1,0,Jordan Howard,RB,RB,10.7,13.68,94.0
61,910981,5,1,0,Lamar Miller,RB,RB,10.9,13.16,80.0
62,910981,5,1,0,Rob Gronkowski,TE,TE,18.3,11.01,100.0
63,910981,5,1,0,Sterling Shepard,WR,W/R/T,4.8,7.35,13.0
64,910981,5,1,0,Jordy Nelson,WR,BN,2.3,6.9,19.0
65,910981,5,1,0,Julian Edelman,WR,BN,0.0,0.0,0.0
66,910981,5,1,0,Sony Michel,RB,BN,0.0,0.0,2.0
67,910981,5,1,0,Will Fuller V,WR,BN,0.0,0.0,6.0
68,910981,5,1,0,Daniel Carlson,K,K,7.0,10.46,52.0
69,910981,5,1,0,Dallas,DEF,DEF,6.0,5.52,4.0
70,910981,3,1,0,Russell Wilson,QB,QB,22.42,18.76,85.0
71,910981,3,1,0,Tyreek Hill,WR,WR,37.3,10.57,97.0
72,910981,3,1,0,JuJu Smith-Schuster,WR,WR,13.9,9.29,90.0
73,910981,3,1,0,Kenny Golladay,WR,WR,13.4,7.21,7.0
74,910981,3,1,0,Alvin Kamara,RB,RB,36.1,18.1,100.0
75,910981,3,1,0,Leonard Fournette,RB,RB,5.5,18.73,99.0
76,910981,3,1,0,Kyle Rudolph,TE,TE,7.1,8.67,87.0
77,910981,3,1,0,Jay Ajayi,RB,W/R/T,20.2,13.25,84.0
78,910981,3,1,0,Adrian Peterson,RB,BN,20.6,11.08,35.0
79,910981,3,1,0,Rashaad Penny,RB,BN,4.3,6.73,5.0
80,910981,3,1,0,Tarik Cohen,RB,BN,4.1,8.28,19.0
81,910981,3,1,0,Cameron Brate,TE,BN,0.0,5.65,5.0
82,910981,3,1,0,Alshon Jeffery,WR,IR,0.0,0.0,3.0
83,910981,3,1,0,Wil Lutz,K,K,6.0,10.39,92.0
84,910981,3,1,0,Philadelphia,DEF,DEF,10.0,7.47,89.0
85,910981,2,1,0,Cam Newton,QB,QB,18.24,21.83,95.0
86,910981,2,1,0,Keenan Allen,WR,WR,18.8,11.4,99.0
87,910981,2,1,0,Chris Hogan,WR,WR,1.1,10.02,86.0
88,910981,2,1,0,Marquise Goodwin,WR,WR,0.0,8.03,36.0
89,910981,2,1,0,David Johnson,RB,RB,12.7,19.3,100.0
90,910981,2,1,0,Joe Mixon,RB,RB,20.9,13.61,94.0
91,910981,2,1,0,Travis Kelce,TE,TE,0.6,9.27,98.0
92,910981,2,1,0,Jamison Crowder,WR,W/R/T,3.2,7.85,32.0
93,910981,2,1,0,Mark Ingram,RB,BN,0.0,0.0,3.0
94,910981,2,1,0,Andrew Luck,QB,BN,20.46,18.03,38.0
95,910981,2,1,0,Isaiah Crowell,RB,BN,24.2,9.16,13.0
96,910981,2,1,0,Kenny Stills,WR,BN,24.6,8.28,21.0
97,910981,2,1,0,Jake Elliott,K,K,4.0,9.76,84.0
98,910981,2,1,0,Jacksonville,DEF,DEF,13.0,8.63,96.0
99,910981,1,1,0,Ben Roethlisberger,QB,QB,12.0,17.9,52.0
100,910981,1,1,0,A.J. Green,WR,WR,13.2,12.08,99.0
101,910981,1,1,0,Demaryius Thomas,WR,WR,12.3,8.99,82.0
102,910981,1,1,0,Brandin Cooks,WR,WR,9.3,9.56,77.0
103,910981,1,1,0,Todd Gurley II,RB,RB,22.7,20.24,100.0
104,910981,1,1,0,Devonta Freeman,RB,RB,5.0,13.92,97.0
105,910981,1,1,0,Jack Doyle,TE,TE,4.0,6.25,33.0
106,910981,1,1,0,Royce Freeman,RB,W/R/T,7.1,12.31,72.0
107,910981,1,1,0,Allen Robinson II,WR,BN,6.1,8.8,69.0
108,910981,1,1,0,O.J. Howard,TE,BN,5.4,5.63,13.0
109,910981,1,1,0,Sammy Watkins,WR,BN,2.1,7.86,25.0
110,910981,1,1,0,Carlos Hyde,RB,BN,12.5,11.01,44.0
111,910981,1,1,0,Robbie Gould,K,K,11.0,8.49,42.0
112,910981,1,1,0,Denver,DEF,DEF,12.0,7.76,79.0
113,910981,10,1,0,Deshaun Watson,QB,QB,12.04,20.52,93.0
114,910981,10,1,0,Odell Beckham Jr.,WR,WR,13.0,11.22,99.0
115,910981,10,1,0,Larry Fitzgerald,WR,WR,7.6,9.35,94.0
116,910981,10,1,0,Michael Crabtree,WR,WR,9.8,7.43,35.0
117,910981,10,1,0,Dalvin Cook,RB,RB,7.5,13.7,97.0
118,910981,10,1,0,Marshawn Lynch,RB,RB,10.9,11.06,52.0
119,910981,10,1,0,Jimmy Graham,TE,TE,0.8,8.29,95.0
120,910981,10,1,0,Chris Carson,RB,W/R/T,5.9,10.99,39.0
121,910981,10,1,0,Matthew Stafford,QB,BN,12.04,18.07,75.0
122,910981,10,1,0,D.J. Moore,WR,BN,0.3,7.68,7.0
123,910981,10,1,0,Eli Manning,QB,BN,8.16,15.38,3.0
124,910981,10,1,0,Justin Tucker,K,K,12.0,10.78,98.0
125,910981,10,1,0,Los Angeles,DEF,DEF,-3.0,6.58,78.0
126,910981,11,1,0,Drew Brees,QB,QB,33.56,18.66,93.0
127,910981,11,1,0,Davante Adams,WR,WR,14.8,12.32,99.0
128,910981,11,1,0,Stefon Diggs,WR,WR,11.1,10.19,97.0
129,910981,11,1,0,Corey Davis,WR,WR,6.2,8.42,51.0
130,910981,11,1,0,Le\'Veon Bell,RB,RB,0.0,0.0,15.0
131,910981,11,1,0,Alex Collins,RB,RB,5.9,13.21,89.0
132,910981,11,1,0,Trey Burton,TE,TE,1.5,6.6,75.0
133,910981,11,1,0,Kenyan Drake,RB,W/R/T,6.6,13.22,90.0
134,910981,11,1,0,Kerryon Johnson,RB,BN,3.7,9.8,22.0
135,910981,11,1,0,Jamaal Williams,RB,BN,4.7,12.76,59.0
136,910981,11,1,0,Marcus Mariota,QB,BN,3.62,17.58,17.0
137,910981,11,1,0,Jared Cook,TE,BN,20.0,5.37,7.0
138,910981,11,1,0,Chris Boswell,K,K,3.0,9.17,69.0
139,910981,11,1,0,Los Angeles,DEF,DEF,17.0,8.16,95.0
140,729457,2,1,0,Matthew Stafford,QB,QB,12.04,18.07,75.0
141,729457,2,1,0,Adam Thielen,WR,WR,12.2,9.56,94.0
142,729457,2,1,0,Larry Fitzgerald,WR,WR,7.6,9.35,94.0
143,729457,2,1,0,Allen Robinson II,WR,WR,6.1,8.8,69.0
144,729457,2,1,0,Alvin Kamara,RB,RB,36.1,18.1,100.0
145,729457,2,1,0,Kareem Hunt,RB,RB,4.9,15.12,99.0
146,729457,2,1,0,Trey Burton,TE,TE,1.5,6.6,75.0
147,729457,2,1,0,Chris Hogan,WR,W/R/T,1.1,10.02,86.0
148,729457,2,1,0,Kenny Stills,WR,BN,24.6,8.28,21.0
149,729457,2,1,0,Tarik Cohen,RB,BN,4.1,8.28,19.0
150,729457,2,1,0,Patrick Mahomes,QB,BN,28.34,18.13,25.0
151,729457,2,1,0,Mike Williams,WR,BN,8.1,7.24,9.0
152,729457,2,1,0,Harrison Butker,K,K,9.0,9.61,72.0
153,729457,2,1,0,New Orleans,DEF,DEF,-4.0,8.09,72.0
154,729457,10,1,0,Cam Newton,QB,QB,18.24,21.83,95.0
155,729457,10,1,0,Mike Evans,WR,WR,22.7,9.56,93.0
156,729457,10,1,0,Marquise Goodwin,WR,WR,0.0,8.03,36.0
157,729457,10,1,0,Rishard Matthews,WR,WR,0.0,7.42,6.0
158,729457,10,1,0,Ezekiel Elliott,RB,RB,14.6,16.62,100.0
159,729457,10,1,0,Kenyan Drake,RB,RB,6.6,13.22,90.0
160,729457,10,1,0,Jack Doyle,TE,TE,4.0,6.25,33.0
161,729457,10,1,0,Doug Baldwin,WR,W/R/T,0.0,9.42,79.0
162,729457,10,1,0,David Njoku,TE,BN,1.3,6.35,45.0
163,729457,10,1,0,Philip Rivers,QB,BN,31.96,18.93,58.0
164,729457,10,1,0,Jordan Reed,TE,BN,10.8,7.28,58.0
165,729457,10,1,0,Rashaad Penny,RB,BN,4.3,6.73,5.0
166,729457,10,1,0,Justin Tucker,K,K,12.0,10.78,98.0
167,729457,10,1,0,Los Angeles,DEF,DEF,17.0,8.16,95.0
168,729457,6,1,0,Aaron Rodgers,QB,QB,24.94,21.85,99.0
169,729457,6,1,0,A.J. Green,WR,WR,13.2,12.08,99.0
170,729457,6,1,0,Demaryius Thomas,WR,WR,12.3,8.99,82.0
171,729457,6,1,0,Corey Davis,WR,WR,6.2,8.42,51.0
172,729457,6,1,0,Todd Gurley II,RB,RB,22.7,20.24,100.0
173,729457,6,1,0,Alex Collins,RB,RB,5.9,13.21,89.0
